"Spectral irradiance of LEDs in 20 cm distance and solar irradiance [mW m^(-2) nm^(-1)] of 17/04/1996 12:20 MEZ at HMGU Neuherberg, Germany",,,,
Measurements by Bentham doublemonochromator,,,,
lambda [nm],E_whiteLED,E_redLED,lambda [nm],E_sun
270,-0.00023,-0.00652,290.4,0.00040
271,-0.00381,-0.01840,291.4,0.00211
272,-0.00436,-0.00356,292.4,0.00283
273,-0.00662,-0.00695,293.4,0.01205
274,0.00089,-0.01338,294.4,0.03333
275,0.00065,-0.01505,295.4,0.11975
276,-0.00300,-0.00464,296.4,0.24686
277,-0.00257,0.00429,297.4,0.65295
278,-0.00208,-0.00359,298.4,1.15398
279,0.00330,-0.00624,299.4,2.19745
280,0.00334,-0.00363,300.4,3.62652
281,-0.00620,-0.00894,301.4,6.23559
282,-0.00404,-0.00443,302.4,11.86027
283,-0.00518,-0.00402,303.4,19.48799
284,-0.00292,-0.01008,304.4,27.06507
285,0.00013,-0.00110,305.4,35.07624
286,0.00088,-0.00753,306.4,43.64708
287,-0.00078,-0.00034,307.4,61.98832
288,-0.00165,-0.00633,308.4,69.84467
289,-0.00043,-0.00800,309.4,71.84398
290,-0.00395,-0.00675,310.4,112.32260
291,0.00096,-0.00176,311.4,133.29080
292,0.00037,-0.00467,312.4,144.82680
293,0.00166,-0.00574,313.4,164.32190
294,-0.00285,-0.00768,314.4,177.69240
295,-0.00376,-0.00445,315.4,170.65640
296,-0.00527,-0.00557,316.4,205.29430
297,-0.00197,-0.00182,317.4,234.40530
298,0.00262,-0.00808,318.4,234.70070
299,-0.00026,-0.00950,319.4,256.26610
300,-0.00149,-0.00362,320.4,293.98090
301,-0.00163,-0.00666,321.4,278.22130
302,-0.00103,-0.00732,322.4,262.71750
303,0.00122,-0.00278,323.4,292.09290
304,0.00113,-0.00437,324.4,329.02190
305,0.00316,-0.00515,325.4,398.66830
306,-0.00047,-0.00530,326.4,453.37770
307,-0.00172,-0.00293,327.4,431.93950
308,-0.00032,-0.00495,328.4,434.63620
309,-0.00263,-0.00598,329.4,524.71180
310,0.00030,-0.00406,330.4,477.64470
311,-0.00430,-0.00511,331.4,470.18240
312,-0.00142,-0.00525,332.4,476.84940
313,0.00027,-0.00795,333.4,457.50370
314,-0.00105,-0.00443,334.4,487.49630
315,-0.00326,-0.00497,335.4,476.70140
316,-0.00211,-0.00087,336.4,409.77910
317,-0.00253,-0.00726,337.4,443.39430
318,0.00156,-0.00904,338.4,489.02660
319,-0.00240,-0.00653,339.4,522.28850
320,-0.00154,-0.00345,340.4,528.46060
321,-0.00057,-0.00570,341.4,504.98280
322,-0.00109,-0.00336,342.4,543.00230
323,-0.00397,-0.00536,343.4,492.07650
324,-0.00219,-0.00247,344.4,442.73430
325,-0.00211,-0.00705,345.4,509.51110
326,0.00148,-0.00742,346.4,513.33040
327,-0.00516,-0.00339,347.4,504.12510
328,-0.00156,-0.00763,348.4,510.19290
329,0.00103,-0.00595,349.4,518.33530
330,-0.00001,-0.00737,350.4,592.93990
331,-0.00029,-0.00335,351.4,558.91360
332,0.00067,-0.00368,352.4,527.38610
333,0.00061,-0.00251,353.4,614.79910
334,-0.00179,-0.00268,354.4,652.50690
335,0.00036,-0.00418,355.4,612.64640
336,0.00061,-0.00298,356.4,517.81560
337,-0.00076,-0.00606,357.4,471.01530
338,-0.00073,-0.00430,358.4,431.76110
339,-0.00367,-0.00613,359.4,621.18870
340,0.00124,-0.00076,360.4,561.14640
341,-0.00129,-0.00622,361.4,527.35650
342,-0.00002,-0.00582,362.4,612.66920
343,-0.00065,-0.00280,363.4,609.68430
344,-0.00395,-0.00610,364.4,609.50710
345,-0.00259,-0.00419,365.4,721.67730
346,0.00084,-0.00469,366.4,738.22130
347,0.00309,0.00001,367.4,704.11330
348,0.00006,-0.00470,368.4,678.35280
349,-0.00209,-0.00176,369.4,762.22420
350,0.00087,-0.00559,370.4,688.77880
351,0.00157,-0.00495,371.4,703.94590
352,0.00208,-0.00346,372.4,639.90660
353,-0.00094,-0.00115,373.4,556.06410
354,0.00008,-0.00241,374.4,549.51730
355,-0.00165,-0.00325,375.4,654.56970
