Datum,PAR,UVA,UVB
01/01/1997,999601.5,73956.05,1955.5125
02/01/1997,973916.4,80058.55,2446.1355
03/01/1997,1200804,103914.6,2931.21
04/01/1997,498103.4,47485.87,2772.285
05/01/1997,460058.4,41589.4,3483.081
06/01/1997,670654.2,61217.67,2250.453
07/01/1997,1401464,118323.7,1813.809
08/01/1997,766039.3,73278.27,1839.6975
09/01/1997,731959.4,73514.88,2129.1195
10/01/1997,629253.1,57635.38,2247.8055
11/01/1997,601050.6,60419.21,2244.648
12/01/1997,1030940,106577.9,2642.766
13/01/1997,1626877,136379.6,2582.724
14/01/1997,2664113,151842.9,2554.371
15/01/1997,1695077,127703.2,2695.1175
16/01/1997,1709185,128495.6,2619.9225
17/01/1997,1720156,131198.9,2727.969
18/01/1997,1023600,83667.15,4660.3125
19/01/1997,1255671,119102.1,2913.3495
20/01/1997,727121.3,79078.13,4924.761
21/01/1997,1250020,128594.7,3377.1495
22/01/1997,1712351,138202.8,3789.564
23/01/1997,1232432,112340,7502.034
24/01/1997,1840574,141116.4,3581.4495
25/01/1997,418044.7,45990.93,5225.3655
26/01/1997,1002575,109067.3,4851.2805
27/01/1997,770288.8,77133.6,3895.3605
28/01/1997,1222632,115243,2521.143
29/01/1997,920465.7,93194.14,2663.3295
30/01/1997,650247.2,65920.45,1995.351
31/01/1997,1348797,129102.2,2732.4885
01/02/1997,2339633,176852.3,3390.0765
02/02/1997,2411183,162076.4,3025.9005
03/02/1997,773985.6,69578.16,2265.585
04/02/1997,1181622,104110.1,2481.8835
05/02/1997,627100.9,62913.23,9105.213
06/02/1997,2112326,169713.7,4960.482
07/02/1997,2650976,191804.3,3959.229
08/02/1997,0,0,0
09/02/1997,2344477,181397.2,3370.8795
10/02/1997,2803692,201811.1,4368.5985
11/02/1997,2832276,217168.6,4130.502
12/02/1997,692151.8,73692.29,5471.8215
13/02/1997,1474562,145210.9,4963.6485
14/02/1997,2028805,191044.7,4270.5795
15/02/1997,1978099,187193.4,4885.575
16/02/1997,2377964,190603.4,4080.747
17/02/1997,1971607,168423.4,4283.7345
18/02/1997,866666.3,87290.55,6364.05
19/02/1997,2829601,242736.8,5202.2805
20/02/1997,3150477,255712.9,5929.2225
21/02/1997,1236475,119562.7,2644.6425
22/02/1997,1905228,179596.7,4065.516
23/02/1997,3771493,282272.1,7514.01
24/02/1997,2290110,198831,4605.1275
25/02/1997,955294,96988.49,5212.266
26/02/1997,2767260,234952.1,7958.355
27/02/1997,2424283,225193.4,6550.3485
28/02/1997,4468422,334889.9,7596.117
01/03/1997,3567381,280801.5,6351.555
02/03/1997,4396620,318023.8,7989.234
03/03/1997,1504502,147002,5180.577
04/03/1997,1738121,168681.7,5715.5355
05/03/1997,1724890,147564.5,3832.6935
06/03/1997,1698456,155764.3,5735.148
07/03/1997,3644471,303393.8,7678.71
08/03/1997,4976177,370944.8,10213.998
09/03/1997,4879236,360221.5,9256.59
10/03/1997,4836455,355145.2,10024.3485
11/03/1997,4949853,368348,10177.7565
12/03/1997,4726984,340665.9,9460.716
13/03/1997,1583419,144669.3,4310.619
14/03/1997,2143331,187017.4,4922.262
15/03/1997,1445448,140751.8,3898.329
16/03/1997,1864149,175339.2,5929.419
17/03/1997,2948667,254657.4,7073.085
18/03/1997,4038731,325646.2,8440.971
19/03/1997,2633429,241962.3,7300.9935
20/03/1997,1362506,125016,12221.685
21/03/1997,2466865,230188.9,9900.9735
22/03/1997,4596206,390431.3,10969.6785
23/03/1997,3196017,271022.5,6825.954
24/03/1997,1993823,185069,5156.5095
25/03/1997,2440522,230236.8,6573.501
26/03/1997,3874064,324582.9,9165.528
27/03/1997,3659768,316216.1,9462.9195
28/03/1997,4907608,419914.9,11138.256
29/03/1997,4340063,373018.4,10219.929
30/03/1997,2497630,241584.9,7137.4365
31/03/1997,5982174,506711.8,15607.53
01/04/1997,7768777,577608.8,17728.335
02/04/1997,7318335,550480.4,16487.52
03/04/1997,6443485,482605.9,14855.859
04/04/1997,4095525,354418.3,11036.9685
05/04/1997,1146386,107747.2,7821.426
06/04/1997,4234832,375747.3,10628.349
07/04/1997,8720026,654253.8,19576.23
08/04/1997,8842469,661867.3,20144.535
09/04/1997,7103730,555716.1,16665.99
10/04/1997,8131813,599431.8,19493.745
